Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA0077	905	306	616	11005	9344	4452
PA0078	280	104	161	3409	2420	1510
PA0079	650	205	330	3331	3177	1510
PA0080	256	90	132	1545	1198	579
PA0081	2909	1079	1772	4886	6855	3986
PA0082	1227	373	555	2592	2835	1741
PA0083	724	165	358	5851	4449	3245
PA0084	2543	612	1242	18205	15574	11019
PA0085	1145	339	694	10034	9833	7222
PA0086	484	118	256	1736	2553	1293
PA0087	127	27	55	816	855	293
PA0088	251	69	174	2190	2348	1009
PA0089	197	59	94	1344	1865	606
PA0090	840	288	568	6703	8602	3826
PA0091	577	256	407	4222	4798	1903
PA0092	206	49	146	905	716	356
PA0093	355	126	196	872	1039	636
PA0094	167	79	81	688	412	288
PA0095	7816	2444	4879	2984	4245	1436
PA0096	113	19	52	113	176	38
PA0097	312	50	109	251	522	165
PA0098	106	25	37	104	168	76
PA0099	236	116	123	501	656	310
PA0100	737	340	420	1446	1483	860
PA0101	214	76	125	496	482	266
PA0102	6540	3315	5529	4752	5913	1709
PA0103	731	360	543	874	1012	351
PA0103a	253	149	182	769	632	482
PA0105	5927	2838	3619	507	507	247
PA0106	1995	1009	1330	251	421	244
PA0107	638	299	386	40	51	33
PA0108	1806	834	1165	251	407	175
PA0109	646	358	478	51	146	54
PA0110	499	228	273	53	65	27
PA0111	450	104	230	17	38	11
PA0112	381	137	211	102	136	49
PA0113	429	188	286	230	412	197
PA0114	1617	1330	1451	1723	2103	618
PA0115	720	337	591	827	969	360
PA0116	1806	975	1188	2412	2671	1612
PA0117	1167	505	729	6725	8824	6689
PA0118	2270	1203	1498	11208	18559	5392
PA0119	347	182	224	1008	1528	721
PA0120	264	117	128	519	540	372
PA0121	277	117	156	418	698	325
PA0122	12064	8344	10084	720	822	423
PA0123	716	422	650	474	634	261
PA0124	36	26	55	264	162	153
PA0125	44	15	24	88	132	104
PA0126	120	59	101	2085	1354	855
PA0127	765	413	564	521	750	250
PA0128	1227	718	922	4876	4383	1716
PA0129	1042	986	1346	807	937	536
PA0130	2088	1641	2592	1384	1748	718
PA0131	682	439	935	456	427	292
PA0132	1988	2010	3399	889	750	583
PA0133	557	251	331	624	619	309
PA0134	1326	654	970	971	1300	540
PA0135	22	25	10	10	19	14
PA0136	114	61	62	116	97	35
PA0137	61	22	35	79	76	53
PA0138	157	65	91	149	336	87
PA0139	3391	3717	3205	29306	10151	12128
PA0140	360	208	277	3246	3823	2144
PA0141	458	198	457	9344	19217	5306
PA0142	483	126	266	558	928	321
PA0143	1646	932	1546	2117	2289	676
PA0144	543	176	346	534	733	292
PA0145	622	230	420	692	1118	386
PA0146	92	33	66	148	181	99
PA0147	409	208	306	584	723	285
PA0148	852	457	667	1981	1775	553
PA0149	543	85	186	101	151	63
PA0150	114	32	46	82	247	181
PA0151	230	88	112	187	211	144
PA0152	610	198	408	629	1066	264
PA0153	385	281	358	206	280	88
PA0154	283	275	217	231	270	141
PA0155	788	426	644	932	675	324
PA0156	878	413	572	1139	1061	499
PA0157	543	161	317	668	778	367
PA0158	2054	944	1478	3140	3138	1595
PA0159	795	269	532	1131	1485	479
PA0160	82	42	79	117	168	116
PA0162	430	179	287	1977	2016	1357
PA0163	609	196	357	488	802	252
PA0164	402	145	248	1959	5161	2001
PA0165	205	122	149	3527	2271	1648
PA0166	214	70	144	189	223	118
PA0167	1163	495	715	1176	1624	536
PA0168	337	106	230	537	756	264
PA0169	193	64	103	1555	1239	928
PA0170	86	27	47	462	502	363
PA0171	40	14	21	602	436	404
PA0172	318	170	251	1108	1579	668
PA0173	116	72	91	14	44	20
